matchup,date,season,hundred_spread_fade,pts_diff,date_adjusted,date_adjusted_str,cumsum_hundred_spread_fade
BKN @ MIL,2016-10-29,2016-17,-100.0,-2.0,2023-10-29,2023-10-29,-100.0
CHA vs. BOS,2016-10-29,2016-17,90.9090909090909,-6.0,2023-10-29,2023-10-29,-9.090909090909093
OKC @ GS,2016-11-03,2016-17,86.95652173913044,-26.0,2023-11-03,2023-11-03,77.86561264822134
UTA @ PHI,2016-11-07,2016-17,-100.0,25.0,2023-11-07,2023-11-07,-22.134387351778656
TOR vs. NY,2016-11-12,2016-17,-100.0,11.0,2023-11-12,2023-11-12,-122.13438735177866
UTA @ MIA,2016-11-12,2016-17,-100.0,11.0,2023-11-12,2023-11-12,-222.13438735177866
ORL @ IND,2016-11-14,2016-17,90.9090909090909,-19.0,2023-11-14,2023-11-14,-131.22529644268775
CHA @ NO,2016-11-19,2016-17,86.95652173913044,-5.0,2023-11-19,2023-11-19,-44.26877470355731
MIN @ GS,2016-11-26,2016-17,90.9090909090909,-13.0,2023-11-26,2023-11-26,46.640316205533594
OKC vs. DET,2016-11-26,2016-17,-100.0,18.0,2023-11-26,2023-11-26,-53.359683794466406
MIA @ UTA,2016-12-01,2016-17,-100.0,1.0,2023-12-01,2023-12-01,-153.3596837944664
BOS @ PHI,2016-12-03,2016-17,100.0,1.0,2023-12-03,2023-12-03,-53.359683794466406
SA @ MIN,2016-12-06,2016-17,-100.0,14.0,2023-12-06,2023-12-06,-153.3596837944664
DET @ CHA,2016-12-07,2016-17,90.9090909090909,-10.0,2023-12-07,2023-12-07,-62.4505928853755
TOR @ BOS,2016-12-09,2016-17,-100.0,7.0,2023-12-09,2023-12-09,-162.4505928853755
